RowID|ProgramID|ProgramName|DataFileName|ParameterName|ParameterUnits|ProgramLocationID|ActivityType|SampleDate|Year|Month|ActivityDepth_m|RelativeDepth|TotalDepth_m|ResultValue|MDL|PQL|DetectionUnit|ValueQualifier|ValueQualifierSource|SampleFraction|ResultComments|OriginalLatitude|OriginalLongitude|ManagedAreaName|Region|SEACAR_QAQCFlagCode|SEACAR_QAQC_Description|Include|SEACAR_EventID|MADup|AreaID|q_subset
219835|5028|Charlotte Harbor Aquatic Preserves Monthly Water Quality Program|Data_5028A_Final.csv|Ammonia- Un-ionized (NH3)|mg/L|MP3C|Sample|2020-06-11T00:00:00Z|2020|6||Surface||0.002||||||||26.6288|-82.0674|Matlacha Pass Aquatic Preserve|SW|6Q|6Q - Within threshold tolerance|1|E9BC7439-BAD4-4D60-A0A0-19EEE86BC4CA|1|28|low
251490|5028|Charlotte Harbor Aquatic Preserves Monthly Water Quality Program|Data_5028A_Final.csv|Ammonia- Un-ionized (NH3)|mg/L|MP1A|Sample|2017-10-18T00:00:00Z|2017|10||Surface||0.53||||||||26.6678|-82.0946|Matlacha Pass Aquatic Preserve|SW|6Q|6Q - Within threshold tolerance|1|F97A9B0D-669D-4065-8964-D80D80BDB239|1|28|high
4105548|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE010C1|Sample|1996-06-13T00:00:00Z|1996|6|3|Midwater||0.01||||||Total||29.2902778|-83.1105556|Big Bend Seagrasses Aquatic Preserve|NW|6Q|6Q - Within threshold tolerance|1|5ED258AF-8FA5-4BEE-A73A-B50C7E1927C3|1|5|low
4107214|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE020C1|Sample|1996-12-04T00:00:00Z|1996|12|1|Surface||0.01||||||Total||29.2755556|-83.1155556|Big Bend Seagrasses Aquatic Preserve|NW|6Q/9Q|6Q - Within threshold tolerance/9Q - Surface Analysis: Activity_Depth <= 1 meter|1|B7406A6E-FB93-48A8-8174-7ACFFA968DF7|1|5|low
4110028|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE050C1|Sample|1996-12-04T00:00:00Z|1996|12|1|Surface||0.01||||||Total||29.2888889|-83.1652778|Big Bend Seagrasses Aquatic Preserve|NW|6Q/9Q|6Q - Within threshold tolerance/9Q - Surface Analysis: Activity_Depth <= 1 meter|1|668D821A-13B3-4465-BAB3-A5635CD14876|1|5|low
4110126|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE060C1|Sample|1996-04-03T00:00:00Z|1996|4|1|Surface||0.01||||||Total||29.3108333|-83.1469444|Big Bend Seagrasses Aquatic Preserve|NW|9Q/6Q|9Q - Surface Analysis: Activity_Depth <= 1 meter/6Q - Within threshold tolerance|1|2223181F-AC90-4F97-81F9-B47E41A117E8|1|5|low
4110127|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE060C1|Sample|1996-12-04T00:00:00Z|1996|12|1|Surface||0.01||||||Total||29.3108333|-83.1469444|Big Bend Seagrasses Aquatic Preserve|NW|9Q/6Q|9Q - Surface Analysis: Activity_Depth <= 1 meter/6Q - Within threshold tolerance|1|6317B98D-A099-41C3-B495-9DACA6E47CD1|1|5|low
4113113|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE070C1|Sample|1996-06-13T00:00:00Z|1996|6|1|Surface||0.01||||||Total||29.3052778|-83.1855556|Big Bend Seagrasses Aquatic Preserve|NW|9Q/6Q|9Q - Surface Analysis: Activity_Depth <= 1 meter/6Q - Within threshold tolerance|1|9F23E74B-0382-4BE3-86F8-4D7416FB65E3|1|5|low
4114615|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE060C1|Sample|1996-11-06T00:00:00Z|1996|11|1|Surface||0.01||||||Total||29.3108333|-83.1469444|Big Bend Seagrasses Aquatic Preserve|NW|6Q/9Q|6Q - Within threshold tolerance/9Q - Surface Analysis: Activity_Depth <= 1 meter|1|F2A5B764-8FA0-4B95-95B8-2BE08D55BDE6|1|5|low
4114809|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE050C1|Sample|1996-06-13T00:00:00Z|1996|6|1|Surface||0.01||||||Total||29.2888889|-83.1652778|Big Bend Seagrasses Aquatic Preserve|NW|6Q/9Q|6Q - Within threshold tolerance/9Q - Surface Analysis: Activity_Depth <= 1 meter|1|1531B7AC-E8BE-408A-AFEA-F83FA04AE542|1|5|low
4334817|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE030C1|Sample|1996-05-16T00:00:00Z|1996|5|1|Surface||0.01||||||Total||29.2697222|-83.1238889|Big Bend Seagrasses Aquatic Preserve|NW|6Q/9Q|6Q - Within threshold tolerance/9Q - Surface Analysis: Activity_Depth <= 1 meter|1|91F23F91-1CF5-4EFF-9FD6-27F9A0E106E4|1|5|low
4335033|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE010C1|Sample|1995-11-16T00:00:00Z|1995|11|1|Surface||0.01||||||Total||29.2902778|-83.1105556|Big Bend Seagrasses Aquatic Preserve|NW|9Q/6Q|9Q - Surface Analysis: Activity_Depth <= 1 meter/6Q - Within threshold tolerance|1|3FD8F940-59BB-4DCD-8ECF-AE2000AF2CA5|1|5|low
4335484|4054|Guana Tolomato Matanzas National Estuarine Research Reserve System-Wide Monitoring Program|Data_4054B_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|gtmpcnut|Sample|2005-07-06T09:45:00Z|2005|7||Surface||0.01||||4|SWMP|||29.667071|-81.257403|Pellicer Creek Aquatic Preserve|NE|6Q|6Q - Within threshold tolerance|1|10E741F1-5691-4EC7-9261-0CC117BE4EA7|1|33|low
4335994|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE040C1|Sample|1995-11-16T00:00:00Z|1995|11|1|Surface||0.01||||||Total||29.2719444|-83.1680556|Big Bend Seagrasses Aquatic Preserve|NW|6Q/9Q|6Q - Within threshold tolerance/9Q - Surface Analysis: Activity_Depth <= 1 meter|1|0BEA62C1-096D-4773-AEA1-ED77ADC13F3C|1|5|low
4335995|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE040C1|Sample|1996-04-03T00:00:00Z|1996|4|1|Surface||0.01||||||Total||29.2719444|-83.1680556|Big Bend Seagrasses Aquatic Preserve|NW|6Q/9Q|6Q - Within threshold tolerance/9Q - Surface Analysis: Activity_Depth <= 1 meter|1|E6A06769-E899-4FB5-8EC0-24DB16D5C8DA|1|5|low
4336032|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE020C1|Sample|1995-11-16T00:00:00Z|1995|11|1|Surface||0.01||||||Total||29.2755556|-83.1155556|Big Bend Seagrasses Aquatic Preserve|NW|6Q/9Q|6Q - Within threshold tolerance/9Q - Surface Analysis: Activity_Depth <= 1 meter|1|D7FBCCD0-16FB-4BAB-9313-357C0B09E54B|1|5|low
4337529|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE030C1|Sample|1995-11-16T00:00:00Z|1995|11|1|Surface||0.01||||||Total||29.2697222|-83.1238889|Big Bend Seagrasses Aquatic Preserve|NW|6Q/9Q|6Q - Within threshold tolerance/9Q - Surface Analysis: Activity_Depth <= 1 meter|1|8EF42F1D-AF62-4D89-8395-8B203EE0F66D|1|5|low
4337530|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE030C1|Sample|1996-09-19T00:00:00Z|1996|9|1|Surface||0.01||||||Total||29.2697222|-83.1238889|Big Bend Seagrasses Aquatic Preserve|NW|6Q/9Q|6Q - Within threshold tolerance/9Q - Surface Analysis: Activity_Depth <= 1 meter|1|59CD37D4-5B30-4BEA-B0E4-38AB90685E8C|1|5|low
4337597|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE030C1|Sample|1996-10-11T00:00:00Z|1996|10|0|Surface||0.01||||||Total||29.2697222|-83.1238889|Big Bend Seagrasses Aquatic Preserve|NW|9Q/6Q|9Q - Surface Analysis: Activity_Depth <= 1 meter/6Q - Within threshold tolerance|1|0A20EBE9-A600-49CC-926A-9859E4DDEDD6|1|5|low
4337678|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE010C1|Sample|1996-02-07T00:00:00Z|1996|2|2|Midwater||0.01||||||Total||29.2902778|-83.1105556|Big Bend Seagrasses Aquatic Preserve|NW|6Q|6Q - Within threshold tolerance|1|BE3B7679-849A-4409-9EC4-2E3C6C5DBFF7|1|5|low
4337679|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE010C1|Sample|1996-05-16T00:00:00Z|1996|5|2|Midwater||0.01||||||Total||29.2902778|-83.1105556|Big Bend Seagrasses Aquatic Preserve|NW|6Q|6Q - Within threshold tolerance|1|826B6CC4-5B81-4F1A-8857-EF1BE59EE67A|1|5|low
4337710|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE050C1|Sample|1996-05-16T00:00:00Z|1996|5|1|Surface||0.01||||||Total||29.2888889|-83.1652778|Big Bend Seagrasses Aquatic Preserve|NW|9Q/6Q|9Q - Surface Analysis: Activity_Depth <= 1 meter/6Q - Within threshold tolerance|1|18372D58-E79A-4DD8-B323-65E5443940E6|1|5|low
4337711|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE050C1|Sample|1996-09-19T00:00:00Z|1996|9|1|Surface||0.01||||||Total||29.2888889|-83.1652778|Big Bend Seagrasses Aquatic Preserve|NW|9Q/6Q|9Q - Surface Analysis: Activity_Depth <= 1 meter/6Q - Within threshold tolerance|1|AD9B803C-CBD4-4FC3-ADAD-B1AD33C55818|1|5|low
4338115|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE010C1|Sample|1996-01-10T00:00:00Z|1996|1|2|Midwater||0.01||||||Total||29.2902778|-83.1105556|Big Bend Seagrasses Aquatic Preserve|NW|6Q|6Q - Within threshold tolerance|1|2573130D-E141-4E9F-BD97-6B8AF64B3DDF|1|5|low
4338142|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE010C1|Sample|1996-04-03T00:00:00Z|1996|4|3|Midwater||0.01||||||Total||29.2902778|-83.1105556|Big Bend Seagrasses Aquatic Preserve|NW|6Q|6Q - Within threshold tolerance|1|D7554A67-E18D-4FE7-8378-9976C0B2A8A6|1|5|low
4338234|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE010C1|Sample|1996-09-19T00:00:00Z|1996|9|3|Midwater||0.01||||||Total||29.2902778|-83.1105556|Big Bend Seagrasses Aquatic Preserve|NW|6Q|6Q - Within threshold tolerance|1|3EAD4871-E5CC-4517-A8FD-301B221D388B|1|5|low
4338681|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE020C1|Sample|1996-05-16T00:00:00Z|1996|5|1|Surface||0.01||||||Total||29.2755556|-83.1155556|Big Bend Seagrasses Aquatic Preserve|NW|9Q/6Q|9Q - Surface Analysis: Activity_Depth <= 1 meter/6Q - Within threshold tolerance|1|BACA60EA-0BE3-40AE-B589-6B5CD4C271DF|1|5|low
4338682|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE020C1|Sample|1996-09-19T00:00:00Z|1996|9|1|Surface||0.01||||||Total||29.2755556|-83.1155556|Big Bend Seagrasses Aquatic Preserve|NW|9Q/6Q|9Q - Surface Analysis: Activity_Depth <= 1 meter/6Q - Within threshold tolerance|1|9D469968-B58C-4868-AF52-FEC67D655B01|1|5|low
4340549|5002|Florida STORET / WIN|Data_5002A_Final.csv|Chlorophyll a corrected for pheophytin|ug/L|STORET_21FLSUW_SRE050C1|Sample|1995-11-16T00:00:00Z|1995|11|1|Surface||0.01||||||Total||29.2888889|-83.1652778|Big Bend Seagrasses Aquatic Preserve|NW|6Q/9Q|6Q - Within threshold tolerance/9Q - Surface Analysis: Activity_Depth <= 1 meter|1|CC38BF23-17F4-4186-BFB5-3F5DB4D2FB4F|1|5|low
